team,offense,defense,net_rating,rank
Kernow,-0.7652071120844957,-10.80918646452114,10.043979352436644,1
Brazil,1.6874428476062397,-2.118088566135732,3.8055314137419716,2
Belgium,1.7871564181758832,-1.5618025910440487,3.348959009219932,3
Italy,1.5026731090803662,-1.803369874061878,3.306042983142244,4
England,1.6934582290080984,-1.5568572331813952,3.2503154621894934,5
France,1.6431235501260795,-1.4210810864334487,3.064204636559528,6
Spain,1.7194644532319532,-1.2909181166902677,3.010382569922221,7
Denmark,1.457759702738203,-1.5234126293301569,2.98117233206836,8
Portugal,1.599634618887304,-1.1669783475941105,2.7666129664814143,9
Netherlands,1.5754933158509772,-1.1494814924550423,2.7249748083060195,10
Uruguay,1.31840571652099,-1.3508536913162679,2.6692594078372576,11
Colombia,1.269127659272434,-1.3754492339840823,2.6445768932565166,12
Croatia,1.5668829379640212,-1.0774109458210943,2.6442938837851155,13
Switzerland,1.475999310699482,-1.1670722714089863,2.643071582108468,14
Argentina,1.4583264729054735,-1.1554820565392216,2.613808529444695,15
Germany,1.5912317718691007,-0.9954618475335462,2.586693619402647,16
Sweden,1.2185686373381035,-1.3481387313124569,2.5667073686505604,17
Iran,0.9883535694039572,-1.4117463793164529,2.40009994872041,18
Ecuador,1.3318903577239074,-1.0273940008117115,2.3592843585356187,19
United States,1.0925392630830442,-1.2603381433796401,2.3528774064626843,20
Russia,1.4252154199343718,-0.8787257652237124,2.3039411851580844,21
Czech Republic,1.229140411515548,-1.071667349968058,2.3008077614836058,22
Peru,1.0880724939332067,-1.1862849542530716,2.2743574481862785,23
Mexico,1.090134311530738,-1.1591792139514716,2.2493135254822096,24
Poland,1.298549626045757,-0.9288252760292197,2.2273749020749767,25
Ukraine,1.2130031575621367,-0.9976343848047993,2.210637542366936,26
Wales,1.0569635505875592,-1.14663327443645,2.203596825024009,27
Morocco,0.9917548158498594,-1.1775524062279323,2.1693072220777916,28
Canada,1.1869411194964599,-0.9386565134008278,2.1255976328972874,29
Serbia,1.2963966807274425,-0.8204329399552708,2.1168296206827133,30
Austria,1.2229965272400003,-0.8874918935165663,2.1104884207565666,31
Senegal,0.8470224639826808,-1.2432395238691207,2.0902619878518016,32
Norway,1.080503291294733,-1.000064148546874,2.080567439841607,33
Algeria,1.1508538544736866,-0.9141880025408271,2.0650418570145135,34
Catalonia,1.2932841905846977,-0.7705742384238097,2.0638584290085076,35
Chile,1.109311915043552,-0.9263226578789903,2.0356345729225422,36
Mali,0.8076671331534787,-1.2262815602332724,2.033948693386751,37
Basque Country,1.33286361068411,-0.7005335037177335,2.0333971144018435,38
Japan,1.0824238535180695,-0.9365794541230166,2.019003307641086,39
Slovakia,1.1466907883166262,-0.850286093211782,1.9969768815284081,40
Republic of Ireland,0.717645105044524,-1.2615421588922302,1.9791872639367543,41
South Korea,0.7037406332832673,-1.2750387150585474,1.9787793483418148,42
Finland,0.8942008247895966,-1.0688159286055892,1.9630167533951859,43
Turkey,1.154058132970671,-0.7340582110596379,1.8881163440303088,44
Qatar,1.0380244345798388,-0.8395609842831839,1.8775854188630228,45
Slovenia,0.8894235509425618,-0.9511127584298589,1.8405363093724207,46
